Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
A0A0B4J2F2,SIK1B_HUMAN,"DOMAIN 27..278; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 303..343; /note=""UBA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00212""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, AMPK subfamily",SIK1B
A0A0U1RPR8,GUC2D_MOUSE,"DOMAIN 541..812; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 887..1017; /note=""Guanylate cyclase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00099""",Mus musculus (Mouse),Adenylyl cyclase class-4/guanylyl cyclase family,Gucy2d
A0A2I0BVG8,CDPK1_PLAFO,"DOMAIN 56..325; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 372..407; /note=""EF-hand 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 416..451; /note=""EF-hand 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 452..487; /note=""EF-hand 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 488..521; /note=""EF-hand 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""",Plasmodium falciparum (isolate NF54),"Protein kinase superfamily, Ser/Thr protein kinase family, CDPK subfamily",PDCK1 CK202_3261
A0A5K1K8H0,CDPK5_PLAF7,"DOMAIN 125..379; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 425..460; /note=""EF-hand 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 462..495; /note=""EF-hand 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 496..531; /note=""EF-hand 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 534..568; /note=""EF-hand 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""",Plasmodium falciparum (isolate 3D7),"Protein kinase superfamily, Ser/Thr protein kinase family, CDPK subfamily",CDPK5 PF3D7_1337800
A0A078CGE6,M3KE1_BRANA,"DOMAIN 20..274; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Brassica napus (Rape),"Protein kinase superfamily, Ser/Thr protein kinase family",M3KE1 BnaA03g30290D GSBRNA2T00111755001
A0A509AFG4,CDPK3_PLABA,"DOMAIN 110..365; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 410..445; /note=""EF-hand 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 448..479; /note=""EF-hand 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 480..515; /note=""EF-hand 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 521..554; /note=""EF-hand 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""",Plasmodium berghei (strain Anka),"Protein kinase superfamily, Ser/Thr protein kinase family, CDPK subfamily",CDPK3 PBANKA_0408200
A0A509AHB6,CDPK1_PLABA,"DOMAIN 57..324; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 371..406; /note=""EF-hand 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 415..450; /note=""EF-hand 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 451..486; /note=""EF-hand 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 487..520; /note=""EF-hand 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""",Plasmodium berghei (strain Anka),"Protein kinase superfamily, Ser/Thr protein kinase family, CDPK subfamily",CDPK1 PBANKA_0314200
A0A509AKL0,KGP_PLABA,"DOMAIN 545..802; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 803..856; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Plasmodium berghei (strain Anka),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cGMP subfamily",PKG PBANKA_1008200
A0A509AQE6,CDPK5_PLABA,"DOMAIN 118..372; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 419..453; /note=""EF-hand 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 454..489; /note=""EF-hand 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 490..525; /note=""EF-hand 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 528..562; /note=""EF-hand 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""",Plasmodium berghei (strain Anka),"Protein kinase superfamily, Ser/Thr protein kinase family, CDPK subfamily",CDPK5 PBANKA_1351500
A0AAR7,CCAMK_LOTJA,"DOMAIN 13..300; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 394..429; /note=""EF-hand 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 430..465; /note=""EF-hand 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""; DOMAIN 472..507; /note=""EF-hand 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00448""",Lotus japonicus (Lotus corniculatus var. japonicus),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily",CCAMK
A0AUV4,SMKY_MOUSE,"DOMAIN 28..276; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 294..334; /note=""UBA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00212""",Mus musculus (Mouse),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, Smok subfamily",Gm7168
A0JM20,TYRO3_XENTR,"DOMAIN 29..114; /note=""Ig-like C2-type 1""; DOMAIN 125..206; /note=""Ig-like C2-type 2""; DOMAIN 213..306; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 311..401; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 503..774; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),"Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily",tyro3
A0JNB0,FYN_BOVIN,"DOMAIN 82..143; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 149..246; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 271..524; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Bos taurus (Bovine),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",FYN
A0M8R7,MET_PAPAN,"DOMAIN 27..515; /note=""Sema""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00352""; DOMAIN 563..655; /note=""IPT/TIG 1""; DOMAIN 657..739; /note=""IPT/TIG 2""; DOMAIN 742..836; /note=""IPT/TIG 3""; DOMAIN 1078..1345; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Papio anubis (Olive baboon),"Protein kinase superfamily, Tyr protein kinase family",MET
A0M8S8,MET_FELCA,"DOMAIN 27..516; /note=""Sema""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00352""; DOMAIN 564..656; /note=""IPT/TIG 1""; DOMAIN 658..740; /note=""IPT/TIG 2""; DOMAIN 743..837; /note=""IPT/TIG 3""; DOMAIN 1079..1346; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Felis catus (Cat) (Felis silvestris catus),"Protein kinase superfamily, Tyr protein kinase family",MET
A1A4I4,PKN1_BOVIN,"DOMAIN 25..100; /note=""REM-1 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 113..194; /note=""REM-1 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 200..281; /note=""REM-1 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 308..471; /note=""C2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041""; DOMAIN 617..876; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 877..944; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",PKN1 PKN PRK1 PRKCL1
A1A5H8,YES_DANRE,"DOMAIN 94..155; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 161..258; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 280..533; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Danio rerio (Zebrafish) (Brachydanio rerio),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",yes1 yes
A1A5Q6,SMK_RAT,"DOMAIN 24..271; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 289..329; /note=""UBA""",Rattus norvegicus (Rat),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, Smok subfamily",Smok
A1CAF0,MPKC_ASPCL,"DOMAIN 20..300; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",mpkC ACLA_011450
A1CHL6,ATG1_ASPCL,"DOMAIN 6..315; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),"Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily",atg1 ACLA_048410
A1CL96,SSN3_ASPCL,"DOMAIN 41..368; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",ssn3 cdk8 ACLA_041380
A1CLD2,BUD32_ASPCL,"DOMAIN 20..277; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),"Protein kinase superfamily, BUD32 family",bud32 ACLA_041780
A1CPG7,HOG1_ASPCL,"DOMAIN 20..299; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),"Protein kinase superfamily, Ser/Thr protein kinase family, MAP kinase subfamily. HOG1 sub-subfamily",hog1 ACLA_022520
A1CX69,ATG1_NEOFI,"DOMAIN 6..311; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus),"Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily",atg1 NFIA_107120
