From,Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
1a9u,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1ad5,P08631,HCK_HUMAN,"DOMAIN 78..138; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 144..241; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 262..515; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",HCK
1agw,P11362,FGFR1_HUMAN,"DOMAIN 25..119; /note=""Ig-like C2-type 1""; DOMAIN 158..246; /note=""Ig-like C2-type 2""; DOMAIN 255..357; /note=""Ig-like C2-type 3""; DOMAIN 478..767; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR
1aq1,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1b38,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1b39,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1b6c,P36897,TGFR1_HUMAN,"DOMAIN 175..204; /note=""GS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00585""; DOMAIN 205..495; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",TGFBR1 ALK5 SKR4
1b6c,P62942,FKB1A_HUMAN,"DOMAIN 20..108; /note=""PPIase FKBP-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00277""",Homo sapiens (Human),"FKBP-type PPIase family, FKBP1 subfamily",FKBP1A FKBP1 FKBP12
1bi7,P42771,CDN2A_HUMAN,,Homo sapiens (Human),CDKN2 cyclin-dependent kinase inhibitor family,CDKN2A CDKN2 MTS1
1bi7,Q00534,CDK6_HUMAN,"DOMAIN 13..300; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK6 CDKN6
1bi8,P55273,CDN2D_HUMAN,,Homo sapiens (Human),CDKN2 cyclin-dependent kinase inhibitor family,CDKN2D
1bi8,Q00534,CDK6_HUMAN,"DOMAIN 13..300; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK6 CDKN6
